FlowRate,Temperature,Total Liters,Rain,Light,Humidity,SoilMoisture
2,29,0.5,Raining,538,20,1000
1,29,0.5,Raining,538,20,1000
1,29,0.5,Raining,538,20,1000
0,33,0,Raining,271,25,1012
0,33,0,Raining,242,25,982
0,33,0,Raining,235,26,985
0,33,0,Raining,254,25,980
0,33,0,Raining,209,26,988
0,32,0,Raining,233,27,988
0,32,0,Raining,245,26,984
0,32,0,Raining,240,25,985
0,33,0,Raining,242,26,985
0,32,0,Raining,233,26,988
0,32,0,Raining,200,27,1015
0,0,0,Raining,264,0,1016
0,0,0,Raining,264,0,1016
0,0,0,Not-Raining,252,0,1017
0,0,0,Not-Raining,223,0,997
0,0,0,Not-Raining,222,0,997
0,0,0,Not-Raining,172,0,998
0,0,0,Not-Raining,160,0,998
0,0,0,Not-Raining,202,0,998
0,0,0,Not-Raining,165,0,997
0,31,0,Raining,208,28,1017
0,31,0,Raining,236,28,1004
0,31,0,Raining,233,28,1004
0,31,0,Raining,240,28,1005
0,31,0,Raining,226,28,1014
0,31,0,Raining,247,28,996
0.01,29,0,Raining,210,36,1017
0,30,0,Raining,233,36,1005
0,29,0,Raining,261,36,1005
0,29,0,Raining,249,36,1005
0,29,0,Raining,265,36,1005
0,29,0,Raining,229,36,1005
